id	source	chart_type	title	narrative_intent	color_palette	bg	shape	highlight	annotation	composition	typography	reading_path	keywords
112	内部	网格图	月度排班表	矩阵式密集	#8B8680 #D45400 #E8A87C	#FFFFFF	rect	忙碌日Coral色	单元格标姓名	17 网格	Helvetica 10/9	标题→日历→忙碌→空闲	内部 网格 排班 密集
113	内部	元素周期表	能力矩阵二维网格	分类+属性	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	rect	高优先级Warm500	元素标能力+等级	18 周期表	Helvetica 12/10	标题→网格→高优→低优	内部 周期表 能力 矩阵
114	内部	弧线图	部门间合作关系	连接关系	#D45400 #E8A87C #FDE8D8	#FFFFFF	arc	强连接Warm500	弧上标合作类型	19 弧线	Helvetica 12/10	标题→节点→强连接→弱连接	内部 弧线 合作 关系
115	内部	弦线图	跨部门协作双向网络	双向关系	#D45400 #E8A87C #963C00 #FDE8D8	#FFFFFF	chord	最强弦Warm500	弦上标协作量	21 弦线	Helvetica 12/10	标题→圆环→最强弦→外围	内部 弦线 双向 协作
116	内部	极坐标网格图	周期性数据分布	极坐标分布	#D45400 #8B8680 #E8A87C	#FFFFFF	dot	峰值Warm500	角度标月份	23 极坐标	Helvetica 12/10	标题→极坐标→峰值→周期	内部 极坐标 周期 分布
117	内部	螺旋图	成长路径螺旋递进	螺旋迭代	#D45400 #E8A87C #963C00	#FFFFFF	spiral	最新圈Warm500	圈标迭代版本	24 螺旋	Helvetica 12/10	标题→中心→螺旋→最新	内部 螺旋 递进 成长
118	内部	时间线	项目里程碑序列	事件序列	#D45400 #8B8680 #E8A87C	#FFFFFF	line	关键里程碑Warm500	节点标日期+事件	25 时间线	Helvetica 14/11	标题→起点→里程碑→终点	内部 时间线 里程碑 事件
119	内部	并列比较	A/B方案逐项对比	两组对比	#D45400 #8B8680 #E8A87C	#FFFFFF	rect	优势项Warm500	项标差异	26 并列	Helvetica 14/11	标题→A→B→差异	内部 并列 对比 AB
120	内部	抽象树	组织层级分解	层级分类	#D45400 #E8A87C #963C00	#FFFFFF	tree	根节点Warm500	节点标部门名	27 树	Helvetica 14/11	标题→根→枝→叶	内部 抽象树 层级 分解
121	内部	思维导图	放射状知识网络	关联发散	#D45400 #E8A87C #FDE8D8 #963C00 #5E2200	#FFFFFF	branch	核心Warm500	节点标关键词	28 思维导图	Helvetica 14/11	标题→中心→主支→子支	内部 思维导图 关联 知识
122	内部	决策树	条件判断策略选择	分支决策	#D45400 #963C00 #8B8680	#FFFFFF	tree	推荐路径Warm500	节点标条件	29 决策	Helvetica 14/11	标题→根→条件→推荐叶	内部 决策树 条件 策略
123	内部	方框图	系统模块结构化	结构化流程	#8B8680 #D45400 #E8A87C	#FFFFFF	rect	核心模块Warm500	框标模块名	30 方框	Helvetica 14/11	标题→核心→依赖→辅助	内部 方框 模块 结构
124	内部	MECE拆解	业务互斥穷尽分解	MECE分解	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	rect	核心分支Warm500	分支标类别+占比	C01 MECE	Helvetica 14/11	标题→整体→分支→叶子	内部 MECE 分解 业务
125	内部	瀑布分析	收入增减驱动因素	变化驱动	#D45400 #963C00 #8B8680	#FFFFFF	rect	最大驱动Warm500	柱标因素+金额	C02 瀑布	Helvetica 14/11	标题→起点→驱动→终点	内部 瀑布 驱动 收入
126	内部	2x2矩阵	两维度四象限定位	优先级排序	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	circle	优先象限Warm500	气泡标事项名	C03 矩阵	Helvetica 14/11	标题→象限→优先→尾部	内部 矩阵 四象限 优先级
127	内部	时间线+里程碑	人生阶段关键节点	人生节点	#D45400 #8B8680 #E8A87C	#FFFFFF	line	关键节点Warm500	节点标年龄+事件	C04 时间线	Helvetica 14/11	标题→起点→节点→终点	内部 时间线 人生 里程碑
128	内部	对比表+结论	方案多维度评估	评估选择	#D45400 #8B8680 #E8A87C	#FFFFFF	rect	最优方案Warm500	底部标推荐结论	C05 对比表	Helvetica 14/11	标题→表格→最优→结论	内部 对比表 方案 评估
129	内部	漏斗+瓶颈	招聘筛选转化衰减	筛选瓶颈	#D45400 #E76F51 #8B8680	#FFFFFF	rect	瓶颈环节Coral	瓶颈标流失率	C06 漏斗	Helvetica 14/11	标题→漏斗→瓶颈→流失	内部 漏斗 瓶颈 招聘
130	内部	趋势+拐点	成长轨迹趋势分析	带注释趋势	#D45400 #8B8680 #E8A87C	#FFFFFF	line	拐点Warm500	拐点标事件	C07 趋势	Helvetica 14/11	标题→趋势→拐点→解释	内部 趋势 拐点 成长
131	内部	堆叠构成	收入组成及变化	总量组成	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	rect	最大构成Warm500	段标类别+占比	C08 堆叠	Helvetica 14/11	标题→总量→构成→变化	内部 堆叠 收入 构成
132	内部	差距到目标	现状vs目标vs路径	目标差距	#D45400 #8B8680 #E8A87C	#FFFFFF	bar	缺口Coral色	目标线标差距	C09 差距	Helvetica 14/11	标题→现状→缺口→目标	内部 差距 目标 现状
133	内部	散点+象限	兴趣vs投入异常识别	相关性+分区	#8B8680 #D45400 #E8A87C	#FFFFFF	circle	异常点Coral	象限标名称	C10 散点	Helvetica 14/11	标题→象限→异常→正常	内部 散点 象限 异常
134	内部	层级树	知识分类分解	组织分类	#D45400 #E8A87C #963C00	#FFFFFF	tree	根节点Warm500	节点标分类名	C11 层级树	Helvetica 14/11	标题→根→枝→分类叶	内部 层级树 知识 分类
135	内部	桥接图	阶段间变化拆解	阶段变化	#D45400 #963C00 #8B8680	#FFFFFF	rect	最大变化Warm500	桥标因素	C12 桥接	Helvetica 14/11	标题→A→桥→B	内部 桥接 阶段 变化
136	内部	Harvey Ball	成熟度评分定性评估	定性网格	#D45400 #8B8680	#FFFFFF	circle	满格Warm500	单元格标等级	C13 Harvey	Helvetica 12/10	标题→网格→满格→空	内部 Harvey 成熟度 定性
137	内部	子弹图	单指标vs目标	目标达成	#D45400 #8B8680 #E8A87C	#FFFFFF	bar	实际Warm500	目标线标数字	C14 子弹	Helvetica 14/11	标题→实际→目标→缺口	内部 子弹 目标 达成
138	内部	桑基流	资金去向流向	资源流向	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	flow	最大流Warm500	流上标金额占比	C15 桑基	Helvetica 14/11	标题→来源→最大流→去向	内部 桑基 资金 流向
139	内部	Issue Tree	问题分解到假设	根因分解	#D45400 #963C00 #8B8680	#FFFFFF	tree	关键假设Warm500	节点标假设	C16 Issue	Helvetica 14/11	标题→问题→分支→假设	内部 Issue 根因 假设
140	内部	V形图	问题→根因→对策	因果链条	#D45400 #E76F51 #8B8680	#FFFFFF	path	对策侧Warm500	节点标问题+对策	V 形	Helvetica 14/11	标题→问题→根因→对策	内部 V形 因果 对策
141	内部	桥牌图	资源分配优先级矩阵	优先级+约束	#D45400 #E8A87C #963C00 #5E2200	#FFFFFF	rect	高优Warm500	格子标资源+优先级	矩阵	Helvetica 12/10	标题→矩阵→高优→低优	内部 桥牌 资源 优先
142	内部	靶心图	目标命中度评估	精准度	#D45400 #E8A87C #FDE8D8 #963C00	#FFFFFF	circle	命中Warm500	环标精度等级	靶心	Helvetica 14/11	标题→靶心→命中→偏差	内部 靶心 目标 精准
143	内部	波浪图	季节性波动模式	周期波动	#D45400 #8B8680 #E8A87C	#FFFFFF	line	波峰Warm500	波峰标原因	波浪	Helvetica 14/11	标题→波浪→波峰→波谷	内部 波浪 季节 波动
144	内部	蜂巢图	模块化能力网络	模块化连接	#D45400 #E8A87C #FDE8D8	#FFFFFF	hex	核心模块Warm500	六边形标能力	蜂巢	Helvetica 12/10	标题→核心→邻接→外围	内部 蜂巢 模块 网络
145	内部	桥拱图	跨部门连接强度	连接桥梁	#8B8680 #D45400 #E8A87C	#FFFFFF	arch	强连接Warm500	拱标协作项目	桥拱	Helvetica 12/10	标题→两岸→桥拱→流量	内部 桥拱 连接 协作
146	内部	漏斗+反向	筛选+流失双向	双向筛选	#D45400 #E76F51 #8B8680	#FFFFFF	rect	双向对比Coral	两侧标原因	双向漏斗	Helvetica 14/11	标题→正向→反向→差异	内部 双向漏斗 筛选 流失
147	内部	时钟图	24小时活动分布	时间分布	#D45400 #E8A87C #963C00	#FFFFFF	arc	高峰时段Warm500	时刻标活动	时钟	Helvetica 12/10	标题→12点→高峰→低谷	内部 时钟 时间 分布
148	内部	桥梁图	现状到未来的跨越	跨越差距	#8B8680 #D45400 #E8A87C	#FFFFFF	bridge	桥面Warm500	桥墩标举措	桥梁	Helvetica 14/11	标题→此岸→桥→彼岸	内部 桥梁 跨越 举措
149	内部	温度计图	累积进度条	累积进度	#D45400 #8B8680 #E8A87C	#FFFFFF	bar	当前Warm500	刻度标里程碑	温度计	Helvetica 14/11	标题→底部→当前→目标	内部 温度计 进度 累积
150	内部	瀑布+目标	目标达成路径	目标路径拆解	#D45400 #963C00 #8B8680	#FFFFFF	rect	目标线红色	柱标举措+金额	瀑布目标	Helvetica 14/11	标题→现状→举措→目标	内部 瀑布 目标 路径
151	Google	堆叠柱状图	Android版本分布年度变化	版本构成趋势	#3DDC84 #4285F4 #FBBC04 #EA4335	#FFFFFF	rect	最新Android绿色	柱顶标版本名	堆叠柱	Roboto 14/12	标题→堆叠→绿色→版本	Google 堆叠 Android 版本
152	Amazon	瀑布图	Prime收入增长驱动拆解	增长归因	#FF9900 #146EB4 #000000	#FFFFFF	rect	最大贡献橙色	柱标驱动因素	瀑布	Amazon Ember 14/11	标题→起点→驱动→终点	Amazon 瀑布 Prime 归因
153	Apple	环形进度图	服务收入占比28%	简洁占比	#000000 #FFFFFF #0071E3	#FFFFFF	donut	28%蓝色	中心放28%	环形	SF Pro 24/16	标题→环形→中心数字	Apple 环形 简洁 服务
154	Microsoft	面积图	Azure收入增长趋势	云增长	#0078D4 #005A9E #DE350B	#FFFFFF	area	Azure蓝色	拐点标产品发布	面积	Segoe UI 14/12	标题→面积→增长→拐点	Microsoft 面积 Azure 增长
155	Tesla	折线图	交付量季度突破	增长爆发	#E82127 #000000	#FFFFFF	line	最新季度红色	拐点标交付数	折线	Helvetica 18/14	标题→折线→爆发→数字	Tesla 折线 交付 增长
156	Netflix	热力图	用户观看时段分布	时间密度	#E50914 #221F1F #B20710	#141414	rect	高峰红色	单元格标节目	热力 Netflix Sans 12/10	标题→热力→高峰→时段	Netflix 热力图 观看 时段
157	Spotify	雷达图	音乐推荐算法六维评分	算法能力	#1DB954 #191414 #FFFFFF	#191414	polygon	最强维度绿色	顶点标维度+分	雷达	Circular 14/12	标题→雷达→最强→维度	Spotify 雷达 推荐 算法
158	Salesforce	桑基图	销售漏斗转化流向	销售转化	#00A1E0 #032D60 #4BC7F6	#FFFFFF	flow	最大流蓝色	流上标转化率	桑基	Salesforce Sans 14/11	标题→桑基→最大流→转化	Salesforce 桑基 销售 转化
159	Uber	地图热力	订单密度城市分布	地理密度	#000000 #FFFFFF #276EF1	#FFFFFF	area	高密度蓝色	城市标订单量	地图	Uber Move 14/12	标题→地图→热点→城市	Uber 地图 热力 订单
160	Deloitte	瀑布图	并购估值调整因素	估值桥接	#86BC25 #000000 #58595B	#FFFFFF	rect	最大调整绿色	柱标调整因素	瀑布	Helvetica 14/11	标题→起点→调整→终点	Deloitte 瀑布 并购 估值
161	KPMG	矩阵表	风险热力评估	风险矩阵	#003087 #58595B #86BC25	#FFFFFF	rect	高风险红色	格子标风险+等级	矩阵	Helvetica 12/10	标题→矩阵→高风险→低	KPMG 矩阵 风险 热力
162	PwC	子弹图	数字化转型进度vs行业	行业对比	#E87722 #58595B #000000	#FFFFFF	bar	实际橙色	行业基准线	子弹	Helvetica 14/11	标题→实际→基准→缺口	PwC 子弹 数字化 基准
163	EY	散点+象限	风险vs回报项目组合	投资定位	#000000 #2E3192 #FFB81C	#FFFFFF	circle	高回报高险深蓝	象限标策略	散点	Helvetica 14/11	标题→象限→高优→回避	EY 散点 风险 回报
164	Harvard BCG	散点图	教育干预效果vs成本	教育经济学	#A51C30 #000000 #CCCCCC	#FFFFFF	circle	高效低成本红色	回归线+标注	散点	Serif 14/11	标题→散点→高效→低效	Harvard 散点 教育 经济
165	WHO	面积堆叠图	全球疾病负担变化	公共卫生	#003366 #0066CC #66CCFF #CCCCCC	#FFFFFF	area	传染病深蓝	拐点标事件	堆叠面积	Helvetica 14/12	标题→堆叠→传染病→下降	WHO 堆叠 疾病 公卫
166	World Bank	气泡演变图	贫困率vs增长各国演变	发展经济学	#004B87 #D45400 #FFB300	#FFFFFF	circle	最新年份饱和色	气泡标国家+贫困率	气泡演变	Inter 14/12	标题→气泡→演变→贫困	WorldBank 气泡 贫困 发展
167	IMF	瀑布图	GDP增长贡献因素拆解	宏观经济	#003366 #A4203B #0066FF	#FFFFFF	rect	最大贡献蓝色	柱标因素+bp	瀑布	Helvetica 14/11	标题→GDP→贡献→分解	IMF 瀑布 GDP 宏观
168	OECD	雷达图	成员国幸福指数多维对比	生活质量	#007A33 #F48024 #003366	#FFFFFF	polygon	最高饱和绿	顶点标维度	雷达	Helvetica 14/11	标题→雷达→最高→最低	OECD 雷达 幸福 多维
169	UNDP	地图	人类发展指数全球分布	发展水平	#0072C6 #009CDE #87CEEB #CCCCCC	#FFFFFF	area	高HDI深蓝	国家标HDI	地图	Helvetica 14/12	标题→地图→深蓝→浅色	UNDP 地图 HDI 发展
170	财新	折线图+事件	A股十年走势+关键事件	金融市场	#CC0000 #333333 #999999	#FFFFFF	line	关键事件红色	事件标日期	折线	思源黑体 16/12	标题→折线→事件→底部	财新 折线 A股 事件
171	36氪	气泡图	一级市场融资轮次分布	创投生态	#0066FF #FF6600 #00CC66	#FFFFFF	circle	最大轮次蓝色	气泡标公司+金额	气泡	思源黑体 14/12	标题→气泡→最大→尾部	36氪 气泡 融资 创投
172	晚点	对比柱状图	两家巨头各项指标对比	竞争对比	#CC0000 #0066FF #333333	#FFFFFF	rect	我司红色	柱顶标差异%	对比柱	思源黑体 14/12	标题→对比→优势→劣势	晚点 对比 巨头 竞争
173	虎嗅	漏斗图	用户从下载到付费转化	互联网转化	#FF6600 #333333 #999999	#FFFFFF	rect	瓶颈橙色	瓶颈标流失原因	漏斗	思源黑体 14/12	标题→漏斗→瓶颈→优化	虎嗅 漏斗 转化 互联网
174	第一财经	面积图+对比	中美制造业PMI对比	宏观对比	#CC0000 #0066FF #CCCCCC	#FFFFFF	area	中国红色美国蓝色	交叉点标注	面积	思源黑体 16/12	标题→面积→交叉→趋势	第一财经 面积 PMI 中美
175	澎湃新闻	散点图+回归	房价收入相关性	社会议题	#333333 #CC0000 #999999	#FFFFFF	circle	异常城市红色	回归线+城市名	散点	思源宋体 14/12	标题→散点→回归→异常	澎湃 散点 房价 收入
176	界面新闻	堆叠柱	消费支出结构变化	消费趋势	#0066FF #FF6600 #00CC66 #CC0000	#FFFFFF	rect	最大支出蓝色	段标类别+占比	堆叠柱	思源黑体 14/12	标题→堆叠→最大→变化	界面 堆叠 消费 结构
177	亿欧	矩阵图	AI企业技术成熟度	产业定位	#0066FF #00CC66 #FF6600 #CC0000	#FFFFFF	rect	领先者蓝色	格子标企业	矩阵	思源黑体 12/10	标题→矩阵→领先→追随	亿欧 矩阵 AI 成熟度
178	IDC	堆叠面积图	云服务市场份额变化	市场趋势	#0066CC #6BAED6 #9ECAE1 #CCCCCC	#FFFFFF	area	最大份额深蓝	拐点标事件	堆叠面积	Helvetica 14/11	标题→堆叠→份额→趋势	IDC 堆叠 云 份额
179	Forrester	雷达图	技术平台能力评估	平台对比	#0066CC #CC0000 #666666	#FFFFFF	polygon	领先者蓝色	顶点标维度+分	雷达	Helvetica 14/11	标题→雷达→领先→差距	Forrester 雷达 平台 评估
180	Gartner	魔力象限+趋势	技术成熟度曲线	技术定位	#43A047 #1E88E5 #FFB300 #E53935	#FAFAFA	circle	领导者绿色	气泡标企业	魔力象限	Helvetica 14/11	标题→象限→领导者→趋势	Gartner 魔力 成熟度 趋势
181	MIT Tech Review	时间线+技术	AI技术演进里程碑	技术历史	#CC0000 #000000 #666666	#FFFFFF	line	里程碑红色	节点标技术+年份	时间线	Helvetica 14/11	标题→起点→里程碑→现在	MIT 时间线 AI 技术
182	Stanford HAI	气泡图	AI投资领域分布	投资热点	#CC0000 #000000 #CCCCCC	#FFFFFF	circle	最大投资红色	气泡标领域+金额	气泡	Helvetica 14/11	标题→气泡→最大→尾部	Stanford 气泡 AI 投资
183	麦肯锡中国	金字塔	消费升级三层结构	消费分层	#001A3A #003366 #0066FF	#FFFFFF	rect	顶层饱和深蓝	层标人群+占比	金字塔	Helvetica 16/11	标题→塔尖→塔身→塔底	麦肯锡 金字塔 消费 分层
184	BCG中国	桑基图	产业数字化转型流向	产业转型	#0A1B3B #1E88E5 #43A047	#FFFFFF	flow	最大流蓝色	流上标占比	桑基	Helvetica 14/11	标题→桑基→最大流→去向	BCG 桑基 数字化 转型
185	Bain中国	瀑布图	消费增长驱动因素	消费归因	#009933 #CC0000 #003366	#FFFFFF	rect	最大贡献绿色	柱标驱动+金额	瀑布	Helvetica 14/11	标题→消费→驱动→分解	Bain 瀑布 消费 归因
186	罗兰贝格	雷达图	城市竞争力六维评估	城市对比	#003366 #0066FF #CCCCCC	#FFFFFF	polygon	最强维度蓝色	顶点标维度	雷达	Helvetica 14/11	标题→雷达→最强→差距	罗兰贝格 雷达 城市 竞争力
187	德勤中国	堆叠柱	数字经济构成占比	产业构成	#86BC25 #000000 #58595B	#FFFFFF	rect	最大构成绿色	段标类别+占比	堆叠柱	Helvetica 14/11	标题→堆叠→最大→变化	德勤 堆叠 数字经济 构成
188	普华永道	子弹图+多指标	ESG指标vs目标	ESG评估	#E87722 #58595B #000000	#FFFFFF	bar	实际橙色	目标线	子弹	Helvetica 14/11	标题→子弹→实际→目标	PwC 子弹 ESG 目标
189	安永	2x2矩阵	转型紧迫度vs准备度	转型定位	#003087 #58595B #86BC25	#FFFFFF	circle	高紧迫蓝色	气泡标企业	矩阵	Helvetica 14/11	标题→象限→紧迫→行动	EY 矩阵 转型 定位
190	毕马威	热力图	风险事件频率分布	风险密度	#003087 #58595B #86BC25	#FFFFFF	rect	高频红色	格子标事件+频率	热力	KPMG Sans 12/10	标题→热力→高频→低频	KPMG 热力 风险 频率
